Date,Branch,Product_Type,Channel,Customer_Segment,New_Accounts,Closures,Transactions,Revenue,Avg_Balance,Customer_Complaints,Cost_per_Account,Total_Cost,NPA_%,Churn_Rate_%
1/2/2022,Guindy,FD,Branch Visit,Retail,2,0,26,810.39,186657.59,0,787,1574,0,0
1/2/2022,Guindy,RD,Internet Banking,SME,6,1,26,2208.75,79952.57,0,559,3354,0,14.29
1/2/2022,Guindy,Loan,Internet Banking,SME,4,0,29,986.97,187437.31,0,631,2524,5.79,0
1/2/2022,Nungambakkam,Savings,Branch Visit,SME,4,1,22,1469.88,76661.5,0,900,3600,0,20
1/2/2022,Nungambakkam,Current,Internet Banking,Corporate,1,0,27,1241.44,60366.13,0,222,222,0,0
1/2/2022,Nungambakkam,FD,Mobile App,Retail,2,0,20,1141.2,301367.16,0,288,576,0,0
1/2/2022,Nungambakkam,RD,Mobile App,Retail,0,0,31,325.48,377278.66,1,698,0,0,0
1/2/2022,Nungambakkam,Loan,Mobile App,SME,5,0,29,1812,257911.18,0,632,3160,1.36,0
1/3/2022,T Nagar,Savings,Mobile App,SME,1,0,21,2025.25,27778.54,0,277,277,0,0
1/3/2022,T Nagar,Current,Branch Visit,SME,1,0,20,938.08,415723.4,0,678,678,0,0
1/3/2022,T Nagar,FD,Internet Banking,Retail,1,1,22,1481.86,82017.51,0,192,192,0,50
1/3/2022,T Nagar,RD,Branch Visit,Corporate,4,0,22,1866.25,336442.19,0,227,908,0,0
1/3/2022,T Nagar,Loan,Internet Banking,Retail,3,1,21,1814.09,141417.42,0,345,1035,1.8,25
1/3/2022,Anna Nagar,Savings,Internet Banking,Retail,5,2,21,634.27,409445.65,0,729,3645,0,33.33
1/3/2022,Anna Nagar,Current,Branch Visit,Retail,1,0,26,1621.5,352783.54,0,780,780,0,0
1/3/2022,Anna Nagar,FD,Branch Visit,Retail,2,0,29,975.09,186454.72,0,632,1264,0,0
1/3/2022,Anna Nagar,RD,Branch Visit,SME,0,0,19,270.99,363337.08,0,445,0,0,0
1/3/2022,Anna Nagar,Loan,Branch Visit,Retail,4,1,26,1411.76,56905.76,1,547,2188,3.93,20
1/3/2022,Velachery,Savings,Branch Visit,Corporate,2,1,22,317.4,58066.16,0,613,1226,0,33.33
1/3/2022,Velachery,Current,Mobile App,Corporate,4,1,21,1848.72,92528.4,0,635,2540,0,20
1/3/2022,Velachery,FD,Internet Banking,Retail,1,1,24,1678.62,326802.13,1,239,239,0,50
1/3/2022,Velachery,RD,Branch Visit,Retail,5,1,29,1996.73,438690.82,0,328,1640,0,16.67
1/3/2022,Velachery,Loan,Internet Banking,Retail,3,0,21,2052.25,209726.06,1,261,783,1.82,0
1/3/2022,Adyar,Savings,Branch Visit,SME,0,0,32,2414.37,208503.4,2,233,0,0,0
1/3/2022,Adyar,Current,Internet Banking,Corporate,4,1,29,1552.58,24878.1,1,643,2572,0,20
1/3/2022,Adyar,FD,Internet Banking,Retail,3,1,30,408.85,495281.51,1,686,2058,0,25
1/3/2022,Adyar,RD,Branch Visit,Retail,5,1,23,1422.94,37519.69,0,432,2160,0,16.67
1/3/2022,Adyar,Loan,Internet Banking,Retail,3,1,32,1272.54,493886.42,0,324,972,3.47,25
1/3/2022,Tambaram,Savings,Branch Visit,Retail,3,0,39,2869.36,67538.69,0,972,2916,0,0
1/3/2022,Tambaram,Current,Mobile App,SME,1,0,23,1045.02,34735.47,0,342,342,0,0
1/3/2022,Tambaram,FD,Branch Visit,SME,2,0,19,1571.1,172953.25,1,335,670,0,0
1/3/2022,Tambaram,RD,Mobile App,Corporate,3,1,28,2604.16,438561.33,0,911,2733,0,25
1/3/2022,Tambaram,Loan,Branch Visit,Retail,6,1,25,2062.43,168444.09,0,556,3336,3.47,14.29
1/3/2022,Guindy,Savings,Mobile App,Corporate,3,0,20,1730.25,250187.56,0,464,1392,0,0
1/3/2022,Guindy,Current,Branch Visit,SME,1,0,33,782.7,382888.28,0,740,740,0,0
1/3/2022,Guindy,FD,Mobile App,Corporate,2,0,24,2275.29,51300.93,1,530,1060,0,0
1/3/2022,Guindy,RD,Mobile App,Retail,3,0,23,1158.63,401912.3,0,647,1941,0,0
1/3/2022,Guindy,Loan,Internet Banking,SME,6,0,29,1302.29,259413.53,1,832,4992,5.79,0
1/3/2022,Nungambakkam,Savings,Mobile App,Retail,3,1,28,1704.94,451014.48,0,555,1665,0,25
1/3/2022,Nungambakkam,Current,Branch Visit,SME,3,1,18,648.7,312394.12,0,466,1398,0,25
1/3/2022,Nungambakkam,FD,Branch Visit,Corporate,2,0,18,502.69,315092.83,0,527,1054,0,0
1/3/2022,Nungambakkam,RD,Branch Visit,Retail,7,3,19,1313.7,264969.76,0,378,2646,0,37.5
1/3/2022,Nungambakkam,Loan,Mobile App,Retail,3,2,31,2547.61,407890.34,0,817,2451,2.66,50
1/4/2022,T Nagar,Savings,Internet Banking,Retail,4,1,25,2214.96,227573.29,0,528,2112,0,20
1/4/2022,T Nagar,Current,Mobile App,Retail,3,1,30,1361.45,22358.68,0,142,426,0,25
1/4/2022,T Nagar,FD,Branch Visit,Retail,7,1,25,1185.61,280729.71,0,715,5005,0,12.5
1/4/2022,T Nagar,RD,Internet Banking,Corporate,2,1,33,1927.03,119240.91,1,293,586,0,33.33
1/4/2022,T Nagar,Loan,Internet Banking,SME,0,0,22,1660.46,466409.11,1,352,0,5.06,0
1/4/2022,Anna Nagar,Savings,Mobile App,Retail,6,1,29,445.86,310487.14,0,916,5496,0,14.29
1/4/2022,Anna Nagar,Current,Internet Banking,Corporate,1,0,25,676.18,492440.02,1,921,921,0,0
1/4/2022,Anna Nagar,FD,Branch Visit,SME,2,0,19,1838.08,150710.85,1,854,1708,0,0
1/4/2022,Anna Nagar,RD,Mobile App,SME,6,2,24,1677.67,181666.47,0,681,4086,0,28.57
1/4/2022,Anna Nagar,Loan,Internet Banking,SME,3,1,29,1783.64,204909.24,1,926,2778,0.25,25
1/4/2022,Velachery,Savings,Branch Visit,Retail,5,2,23,906.64,460445.63,0,757,3785,0,33.33
1/4/2022,Velachery,Current,Internet Banking,SME,3,1,20,707.93,483665.2,0,371,1113,0,25
1/4/2022,Velachery,FD,Internet Banking,Retail,3,0,21,1574.56,22156.7,0,459,1377,0,0
1/4/2022,Velachery,RD,Branch Visit,SME,3,0,26,2142.94,209882.66,1,923,2769,0,0
1/4/2022,Velachery,Loan,Branch Visit,SME,3,0,27,2055.62,350425.45,0,383,1149,5.12,0
1/4/2022,Adyar,Savings,Branch Visit,Retail,3,0,20,491.3,294766.33,0,350,1050,0,0
1/4/2022,Adyar,Current,Branch Visit,Corporate,3,1,21,2016.48,170284.26,0,777,2331,0,25
1/4/2022,Adyar,FD,Mobile App,Corporate,2,1,21,1769.83,200774.73,0,858,1716,0,33.33
1/4/2022,Adyar,RD,Mobile App,SME,3,2,27,2026.2,46813.15,1,307,921,0,50
1/4/2022,Adyar,Loan,Branch Visit,SME,1,0,19,1252.84,289252.72,0,772,772,0.69,0
1/4/2022,Tambaram,Savings,Branch Visit,Retail,4,2,28,1673.63,356992.43,0,627,2508,0,40
1/4/2022,Tambaram,Current,Branch Visit,Retail,3,0,30,2739.21,477019.37,0,227,681,0,0
1/4/2022,Tambaram,FD,Internet Banking,Retail,3,1,17,1219.38,466972.77,0,128,384,0,25
1/4/2022,Tambaram,RD,Internet Banking,Retail,2,0,25,1206.26,265583.14,1,905,1810,0,0
1/4/2022,Tambaram,Loan,Mobile App,Retail,4,1,22,800.49,319173.54,1,708,2832,5.54,20
1/4/2022,Guindy,Savings,Internet Banking,SME,6,1,20,520.16,95400.99,0,158,948,0,14.29
1/4/2022,Guindy,Current,Mobile App,SME,0,0,25,1352.17,209255.44,0,425,0,0,0
1/4/2022,Guindy,FD,Internet Banking,Retail,3,0,28,494.82,495443.21,1,707,2121,0,0
1/4/2022,Guindy,RD,Branch Visit,Retail,5,0,16,641.93,345763.61,0,567,2835,0,0
1/4/2022,Guindy,Loan,Branch Visit,Corporate,2,0,22,1608.38,450471.07,1,542,1084,4.53,0
1/4/2022,Nungambakkam,Savings,Branch Visit,SME,3,1,33,2162.7,223364.49,0,327,981,0,25
1/4/2022,Nungambakkam,Current,Branch Visit,Retail,4,1,21,308.15,77185.6,0,889,3556,0,20
1/4/2022,Nungambakkam,FD,Branch Visit,Corporate,5,0,26,1411.88,267106.62,0,765,3825,0,0
1/4/2022,Nungambakkam,RD,Internet Banking,Retail,3,0,24,483.38,121674.75,0,444,1332,0,0
1/4/2022,Nungambakkam,Loan,Mobile App,Corporate,3,0,23,378.94,92063.73,0,143,429,0.73,0
1/5/2022,T Nagar,Savings,Branch Visit,Corporate,2,0,28,1675.24,428434.2,0,684,1368,0,0
1/5/2022,T Nagar,Current,Internet Banking,SME,3,0,18,602.2,115171.3,1,102,306,0,0
1/5/2022,T Nagar,FD,Mobile App,SME,1,0,23,1233.82,292261.83,0,109,109,0,0
1/5/2022,T Nagar,RD,Internet Banking,Retail,4,0,26,1146.65,234675.65,0,859,3436,0,0
1/5/2022,T Nagar,Loan,Internet Banking,Corporate,2,0,22,657.25,464854.59,0,508,1016,3.42,0
1/5/2022,Anna Nagar,Savings,Internet Banking,Retail,3,1,22,721.46,127895.19,1,203,609,0,25
1/5/2022,Anna Nagar,Current,Internet Banking,SME,3,0,18,1758.44,253903.35,0,895,2685,0,0
1/5/2022,Anna Nagar,FD,Branch Visit,Retail,2,0,28,929.88,237525.04,0,936,1872,0,0
1/5/2022,Anna Nagar,RD,Mobile App,SME,3,1,26,278.87,94180.26,0,317,951,0,25
1/5/2022,Anna Nagar,Loan,Branch Visit,Corporate,3,1,24,1619.36,194137.58,1,989,2967,2.01,25
1/5/2022,Velachery,Savings,Internet Banking,Corporate,0,0,23,645.12,200832.55,0,553,0,0,0
1/5/2022,Velachery,Current,Branch Visit,Retail,2,0,29,1820.79,290249.93,0,187,374,0,0
1/5/2022,Velachery,FD,Branch Visit,Corporate,0,0,24,250.88,425485.53,0,275,0,0,0
1/5/2022,Velachery,RD,Internet Banking,Retail,4,0,29,1183.65,390012.06,0,121,484,0,0
1/5/2022,Velachery,Loan,Mobile App,Corporate,3,1,29,2294.67,487458.08,1,764,2292,2.13,25
1/5/2022,Adyar,Savings,Branch Visit,Corporate,3,2,23,2119.7,244216.89,0,959,2877,0,50
1/5/2022,Adyar,Current,Branch Visit,Retail,5,2,22,444.17,238888.75,0,646,3230,0,33.33
1/5/2022,Adyar,FD,Mobile App,Retail,0,0,28,2114.93,474301.93,0,940,0,0,0
1/5/2022,Adyar,RD,Branch Visit,SME,2,1,32,2336.42,422101.27,1,545,1090,0,33.33
1/5/2022,Adyar,Loan,Branch Visit,SME,0,0,29,676.08,157747.47,0,896,0,4.7,0
1/5/2022,Tambaram,Savings,Mobile App,Corporate,5,2,36,3203.14,254661.41,1,852,4260,0,33.33
1/5/2022,Tambaram,Current,Mobile App,SME,3,0,25,2267.69,232022.27,0,101,303,0,0
1/5/2022,Tambaram,FD,Internet Banking,Retail,5,1,24,364.1,75846.88,0,144,720,0,16.67
1/5/2022,Tambaram,RD,Mobile App,Corporate,3,0,24,882.46,458673.65,0,114,342,0,0
1/5/2022,Tambaram,Loan,Mobile App,SME,1,1,30,1164.93,316033.94,0,571,571,4.6,50
1/5/2022,Guindy,Savings,Internet Banking,Corporate,3,1,25,862.1,65549.5,0,174,522,0,25
1/5/2022,Guindy,Current,Branch Visit,SME,3,1,21,1344.3,151504.91,0,831,2493,0,25
1/5/2022,Guindy,FD,Branch Visit,SME,1,0,29,2471.02,213534.4,1,983,983,0,0
1/5/2022,Guindy,RD,Internet Banking,Retail,0,0,19,811.7,282602.32,1,439,0,0,0
1/5/2022,Guindy,Loan,Internet Banking,Retail,6,0,21,1810.24,278846.92,1,595,3570,5.3,0
1/5/2022,Nungambakkam,Savings,Mobile App,Corporate,3,0,26,419.26,124444.77,0,552,1656,0,0
1/5/2022,Nungambakkam,Current,Mobile App,SME,5,1,17,447.94,419179.06,2,128,640,0,16.67
1/5/2022,Nungambakkam,FD,Branch Visit,Corporate,2,0,33,840,416689.06,1,362,724,0,0
1/5/2022,Nungambakkam,RD,Mobile App,SME,4,0,32,1409.09,11049.74,1,948,3792,0,0
1/5/2022,Nungambakkam,Loan,Mobile App,Retail,4,1,23,431.87,220329.07,0,125,500,3.2,20
1/6/2022,T Nagar,Savings,Mobile App,SME,8,2,22,796,19863.04,0,944,7552,0,22.22
1/6/2022,T Nagar,Current,Branch Visit,Corporate,5,2,14,1082.92,92592.49,0,732,3660,0,33.33
1/6/2022,T Nagar,FD,Branch Visit,Retail,1,0,22,1683.6,377478.45,0,572,572,0,0
1/6/2022,T Nagar,RD,Internet Banking,Retail,3,0,29,1751.34,20378.09,0,902,2706,0,0
1/6/2022,T Nagar,Loan,Mobile App,Retail,2,0,17,1064.63,257329.02,0,953,1906,5.09,0
1/6/2022,Anna Nagar,Savings,Mobile App,Corporate,3,0,26,324.84,245910.03,0,741,2223,0,0
1/6/2022,Anna Nagar,Current,Mobile App,SME,3,1,29,1859.39,266619.95,0,881,2643,0,25
1/6/2022,Anna Nagar,FD,Internet Banking,Retail,8,1,23,308.87,245407.09,0,574,4592,0,11.11
1/6/2022,Anna Nagar,RD,Mobile App,SME,5,2,36,2396.75,30256.85,0,915,4575,0,33.33
1/6/2022,Anna Nagar,Loan,Internet Banking,SME,4,1,27,2538.88,265110.23,0,537,2148,5.42,20
1/6/2022,Velachery,Savings,Mobile App,Corporate,5,1,32,2018.69,252886.89,0,419,2095,0,16.67
1/6/2022,Velachery,Current,Branch Visit,Corporate,2,1,20,1174.13,87325.58,0,687,1374,0,33.33
1/6/2022,Velachery,FD,Internet Banking,SME,3,0,30,1771.84,124617.49,1,893,2679,0,0
1/6/2022,Velachery,RD,Mobile App,Retail,4,1,23,1378.08,19189.08,0,192,768,0,20
1/6/2022,Velachery,Loan,Mobile App,Retail,3,0,24,1320.47,498038.87,0,421,1263,4.89,0
1/6/2022,Adyar,Savings,Mobile App,Corporate,3,0,22,792.75,444498.75,1,314,942,0,0
1/6/2022,Adyar,Current,Mobile App,Retail,1,0,21,223.13,43301.06,1,125,125,0,0
1/6/2022,Adyar,FD,Mobile App,Corporate,4,2,30,2728.64,294434.23,0,415,1660,0,40
1/6/2022,Adyar,RD,Internet Banking,Retail,3,2,21,1842.47,62434.63,1,439,1317,0,50
1/6/2022,Adyar,Loan,Internet Banking,Retail,3,1,19,280.45,358107.75,0,641,1923,1.96,25
1/6/2022,Tambaram,Savings,Mobile App,Corporate,0,0,19,998.34,466020.13,0,393,0,0,0
1/6/2022,Tambaram,Current,Mobile App,Corporate,3,1,21,1129.99,480860.55,2,226,678,0,25
1/6/2022,Tambaram,FD,Internet Banking,SME,3,0,28,1782.47,273187.11,0,231,693,0,0
1/6/2022,Tambaram,RD,Branch Visit,Corporate,4,0,26,934.14,33509.39,0,386,1544,0,0
1/6/2022,Tambaram,Loan,Branch Visit,SME,3,1,17,1298.71,344781.66,1,761,2283,2.52,25
1/6/2022,Guindy,Savings,Internet Banking,SME,4,1,28,2784.38,176085.4,0,337,1348,0,20
1/6/2022,Guindy,Current,Internet Banking,SME,0,0,28,300.75,65037.88,0,944,0,0,0
1/6/2022,Guindy,FD,Internet Banking,SME,1,0,23,430.65,322316.28,2,479,479,0,0
1/6/2022,Guindy,RD,Mobile App,Retail,1,1,29,2345.56,44999.06,0,609,609,0,50
1/6/2022,Guindy,Loan,Branch Visit,Corporate,4,1,24,956.38,164114.82,0,647,2588,4.08,20
1/6/2022,Nungambakkam,Savings,Branch Visit,Retail,4,1,41,3294.94,142721.42,1,754,3016,0,20
1/6/2022,Nungambakkam,Current,Branch Visit,SME,3,1,32,2128.99,313450.84,0,315,945,0,25
1/6/2022,Nungambakkam,FD,Internet Banking,Corporate,3,0,25,2056.45,165549.33,0,645,1935,0,0
1/6/2022,Nungambakkam,RD,Mobile App,Corporate,1,0,28,504.92,410554.68,1,782,782,0,0
1/6/2022,Nungambakkam,Loan,Mobile App,Corporate,2,0,26,634.78,253459.71,1,842,1684,4.39,0
1/7/2022,T Nagar,Savings,Branch Visit,Retail,3,0,16,1458,229788.7,0,879,2637,0,0
1/7/2022,T Nagar,Current,Branch Visit,Corporate,1,0,25,525.56,477537.62,0,289,289,0,0
1/7/2022,T Nagar,FD,Branch Visit,SME,5,0,33,1404.4,77437.63,0,944,4720,0,0
1/7/2022,T Nagar,RD,Internet Banking,Retail,2,0,28,680.08,354619.63,0,560,1120,0,0
1/7/2022,T Nagar,Loan,Internet Banking,Corporate,3,1,32,2802,20246.92,0,914,2742,2.37,25
1/7/2022,Anna Nagar,Savings,Internet Banking,Corporate,2,1,27,406.05,16111.94,0,199,398,0,33.33
1/7/2022,Anna Nagar,Current,Branch Visit,SME,3,1,27,1370.35,273877.42,0,572,1716,0,25
1/7/2022,Anna Nagar,FD,Internet Banking,Corporate,2,1,27,2588.97,373899.39,0,452,904,0,33.33
1/7/2022,Anna Nagar,RD,Internet Banking,Retail,6,1,26,1151.95,306524.68,1,104,624,0,14.29
1/7/2022,Anna Nagar,Loan,Branch Visit,Retail,1,0,19,1177.55,150229.65,0,319,319,2.1,0
1/7/2022,Velachery,Savings,Internet Banking,Retail,3,1,21,1111.97,218750.99,0,851,2553,0,25
1/7/2022,Velachery,Current,Internet Banking,Retail,4,1,31,2173.56,221981.2,0,250,1000,0,20
1/7/2022,Velachery,FD,Branch Visit,Corporate,3,2,23,1369.82,305967.31,0,555,1665,0,50
1/7/2022,Velachery,RD,Mobile App,Retail,3,0,25,1853.39,280456.91,1,268,804,0,0
1/7/2022,Velachery,Loan,Internet Banking,Corporate,5,0,23,845.44,443832.37,0,792,3960,0.56,0
1/7/2022,Adyar,Savings,Mobile App,SME,4,0,23,730.78,149835.48,0,811,3244,0,0
1/7/2022,Adyar,Current,Branch Visit,SME,4,0,22,379.37,437105.68,0,527,2108,0,0
1/7/2022,Adyar,FD,Branch Visit,Retail,2,0,21,636.15,335951.37,3,473,946,0,0
1/7/2022,Adyar,RD,Branch Visit,Retail,3,0,24,772.86,129608.02,0,983,2949,0,0
1/7/2022,Adyar,Loan,Internet Banking,SME,2,1,23,1758.66,84432.72,2,268,536,5.03,33.33
1/7/2022,Tambaram,Savings,Branch Visit,SME,2,0,31,2354.19,15741.91,0,998,1996,0,0
1/7/2022,Tambaram,Current,Branch Visit,Retail,2,1,20,1250.43,137237.3,0,445,890,0,33.33
1/7/2022,Tambaram,FD,Mobile App,Retail,3,0,21,345.66,252080.42,0,405,1215,0,0
1/7/2022,Tambaram,RD,Mobile App,Retail,2,1,30,1885.66,300680.33,1,807,1614,0,33.33
1/7/2022,Tambaram,Loan,Internet Banking,SME,6,1,28,851.54,32592.39,1,490,2940,1.28,14.29
1/7/2022,Guindy,Savings,Mobile App,Corporate,4,1,25,1437.89,86232.84,0,164,656,0,20
1/7/2022,Guindy,Current,Internet Banking,Corporate,2,1,22,642.48,294192.85,0,493,986,0,33.33
1/7/2022,Guindy,FD,Mobile App,SME,2,0,29,1053.86,375008.63,0,925,1850,0,0
1/7/2022,Guindy,RD,Mobile App,Corporate,1,0,24,1923.11,329254.62,0,984,984,0,0
1/7/2022,Guindy,Loan,Mobile App,Retail,2,0,28,571.16,307529.16,0,491,982,3.18,0
1/7/2022,Nungambakkam,Savings,Branch Visit,Corporate,0,0,26,1205.9,71696.08,0,312,0,0,0
1/7/2022,Nungambakkam,Current,Branch Visit,Retail,5,2,26,1324.53,94176.13,0,940,4700,0,33.33
1/7/2022,Nungambakkam,FD,Branch Visit,SME,3,1,25,2329.83,249614.04,1,542,1626,0,25
1/7/2022,Nungambakkam,RD,Branch Visit,Retail,4,0,19,922.36,17790,0,853,3412,0,0
1/7/2022,Nungambakkam,Loan,Mobile App,SME,3,0,23,1220.43,59314.29,1,861,2583,1.18,0
1/8/2022,T Nagar,Savings,Branch Visit,Corporate,1,0,26,1435.61,364462.73,1,277,277,0,0
1/8/2022,T Nagar,Current,Internet Banking,Retail,0,0,22,419.74,125029.24,0,447,0,0,0
1/8/2022,T Nagar,FD,Internet Banking,Corporate,4,2,26,1296.93,215065.25,0,855,3420,0,40
1/8/2022,T Nagar,RD,Mobile App,SME,2,1,31,2428.47,102986.6,0,504,1008,0,33.33
1/8/2022,T Nagar,Loan,Mobile App,Corporate,2,1,29,1099.85,336353.28,0,723,1446,4.46,33.33
1/8/2022,Anna Nagar,Savings,Branch Visit,Retail,2,1,24,1260.64,415776.95,0,977,1954,0,33.33
1/8/2022,Anna Nagar,Current,Branch Visit,Corporate,1,0,20,1814.59,346391.3,0,592,592,0,0
1/8/2022,Anna Nagar,FD,Internet Banking,Corporate,4,0,26,655.58,462963.32,0,592,2368,0,0
1/8/2022,Anna Nagar,RD,Branch Visit,Retail,6,0,19,1535.65,102565.54,0,118,708,0,0
1/8/2022,Anna Nagar,Loan,Mobile App,SME,6,0,19,555.94,38758.1,1,486,2916,5.24,0
